section,Lecture,Age,Primary major,Other Primary Major,Other majors,Zip Code,4701018: What is the latitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701019: What is the longitude of your most favorite city on Earth? You can use any free lat/long lookup service. Please make sure to open the following link in a new tab. Here is an example: https://www.latlong.net/convert-address-to-lat-long.html.,4701117: Are you considering declaring a Data Science Major?,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,20,Mathematics/AMEP,,"Physics, Data Science",53715,32.0853,34.781769,Maybe,mushroom,dog,No,no preference,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC003,19,Data Science,,,53715,42.701847,-84.48217,Yes,tater tots,dog,No,night owl,Yes
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,18,Mathematics/AMEP,,,53706,40.179188,44.499104,No,Other,dog,Yes,no preference,Yes
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,,Computer Science,,Neurobiology,53711,2.81375,101.504272,Maybe,sausage,dog,Yes,no preference,Maybe
"COMP SCI 220:LEC001, COMP SCI 220:LAB313",LEC001,18,Engineering: Industrial,,,53715,30.733315,76.779419,No,green pepper,cat,No,no preference,Yes
"COMP SCI 220:LAB333, COMP SCI 220:LEC003",LEC003,21,Data Science,,global health,53590,7.9519,98.3381,Yes,Other,dog,Yes,early bird,Yes
"COMP SCI 220:LAB341, COMP SCI 220:LEC004",LEC004,19,Data Science,,,53715,35.69,139.69,Yes,mushroom,dog,No,no preference,Maybe
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,19,Data Science,,,53704,26.473308,50.048218,Yes,Other,cat,Yes,night owl,Yes
"COMP SCI 220:LEC002, COMP SCI 220:LAB321",LEC002,22,Other (please provide details below).,econ,no,53703,34.052235,-118.243683,No,pineapple,dog,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB362",LEC006,18,Data Science,-,Statistics,53706,19.075983,72.877655,Yes,mushroom,dog,Yes,night owl,Yes
"COMP SCI 220:LAB332, COMP SCI 220:LEC003",LEC001,,Business: Actuarial,,,53705,39.6336N,118.16,No,basil/spinach,dog,Yes,early bird,Yes
"COMP SCI 220:LEC003, COMP SCI 220:LAB331",LEC003,18,Data Science,Economics,"Biology, Data Science",53706,52.370216,4.895168,Maybe,mushroom,cat,Yes,no preference,No
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,18,Engineering: Mechanical,,,53706,52.368944,4.891663,No,pepperoni,cat,No,night owl,No
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,18,Science: Physics,,,53703,32N,118E,No,sausage,neither,No,night owl,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,18,Data Science,,Economics,53706,17.384716,78.409424,Yes,mushroom,dog,Yes,night owl,Maybe
"COMP SCI 220:LEC003, COMP SCI 220:LAB333",LEC003,19,Data Science,,,53715,3.1569,101.7123,Yes,mushroom,cat,No,early bird,No
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,18,Computer Science,Computer Science,,53706,43.769562,11.255814,Yes,Other,,No,night owl,Yes
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC001,18,Business: Actuarial,,,53706,48.856613,2.352222,No,mushroom,cat,No,no preference,Yes
"COMP SCI 220:LEC004, COMP SCI 220:LAB341",LEC004,20,Business: Actuarial,,Risk Management and Insurance,53711,40.7128,74.006,No,pepperoni,dog,Yes,early bird,No
"COMP SCI 220:LEC005, COMP SCI 220:LAB352",LEC005,20,Science: Biology/Life,,Data Science,53703,44.67082,-93.24432,Yes,mushroom,dog,No,no preference,Maybe
"COMP SCI 220:LEC004, COMP SCI 220:LAB342",LEC004,18,Mathematics/AMEP,"Undecided, but mainly thinking about Mathematics and Computer Science",Computer Science,53706,46.786671,-92.100487,Maybe,pepperoni,cat,No,early bird,Yes
"COMP SCI 220:LAB354, COMP SCI 220:LEC005",LEC005,20,Other (please provide details below).,Economics,,53703,48.856613,2.352222,Maybe,pepperoni,neither,No,night owl,Maybe
"COMP SCI 220:LEC006, COMP SCI 220:LAB363",LEC006,18,Business: Finance,,,53706,40.409264,49.867092,Yes,Other,neither,No,early bird,No
"COMP SCI 220:LEC004, COMP SCI 220:LAB343",LEC001,21,Other (please provide details below).,Computer Science,Data Science,53715,27.993828,120.699364,Yes,green pepper,dog,Yes,no preference,No
"COMP SCI 220:LAB324, COMP SCI 220:LEC002",LEC002,,Computer Science,,,53706,,,Maybe,Other,neither,Yes,no preference,Maybe
"COMP SCI 220:LEC002, COMP SCI 220:LAB323",LEC002,20,Engineering: Mechanical,,,53706,35.6762° N,139.6503° E,No,sausage,cat,Yes,night owl,Yes
